comment,cleaned_text,l_xlm,c_xlm,l_bert,c_bert
ඉක්කන්ට වරෙං අපේ දිශ් නම්කිට පිස්සු කියපු එකාව දණ ගස්සලා බාවන්නේදණ ගස්සලා,ඉක්කන්ට වරෙං අපේ දිශ් නම්කිට පිස්සු කියපු එකාව දණ ගස්සලා බාවන්නේදණ ගස්සලා,Harassment,0.7817,Harassment,0.9355
පුක පලාගන්න එපා.. අපේ ගමේ එකියක් - ආ ඔට්ටුයි බෑ පලපිය බලන්න. කොළඹ එකියක්- මෙච්චර අත් තියෙද්දි පලා ගන්න පුකෙන්... පිස්සුවක් ඇතැ..,පුක පලාගන්න එපා.. අපේ ගමේ එකියක් - ආ ඔට්ටුයි බෑ පලපිය බලන්න. කොළඹ එකියක්- මෙච්චර අත් තියෙද්දි පලා ගන්න පුකෙන්... පිස්සුවක් ඇතැ..,Harassment,0.6929,Harassment,0.9624
පුක එලියේ බන් පිස්සු හැදේ හීතලේ මල්ලී නැගිටලා,පුක එලියේ බන් පිස්සු හැදේ හීතලේ මල්ලී නැගිටලා,Harassment,0.5435,Harassment,0.5747
කවදාවත් ඇස් දෙකකට වශි නොවුන මම උබේ ඔය හුරතලේට පිස්සු වැටිල පන.... — feeling ලොවෙඩ්,කවදාවත් ඇස් දෙකකට වශි නොවුන මම උබේ ඔය හුරතලේට පිස්සු වැටිල පන.... — feeling ලොවෙඩ්,Harassment,0.5186,Harassment,0.7495
අනෙ ⁣මගෙ රටෙ මූසිල පුත්තු වරෙල්ලා තලන්න මුන්ගෙ පූසිගෙ මොත්තු පුලතිසිපුර ගූවුන රිද්දූ මුලු රටම සල්ලියෙ බලයට වික්කූ පිරිපුන් මොල උක්කු කලින් හිටියෙත් නෑ එකෙක්වත් කුසලානෙට සෙට් වූ කිරි බොන මගෙ පුත්තු අහනවා ඇයි අප්පච්චි මේ අල්ලට පිස්සු,අනෙ ⁣මගෙ රටෙ මූසිල පුත්තු වරෙල්ලා තලන්න මුන්ගෙ පූසිගෙ මොත්තු පුලතිසිපුර ගූවුන රිද්දූ මුලු රටම සල්ලියෙ බලයට වික්කූ පිරිපුන් මොල උක්කු කලින් හිටියෙත් නෑ එකෙක්වත් කුසලානෙට සෙට් වූ කිරි බොන මගෙ පුත්තු අහනවා ඇයි අප්පච්චි මේ අල්ලට පිස්සු,Harassment,0.6899,Harassment,0.7544
ඉපදුන ගමන් මේකා නර්ස් කෙනෙක්ට අතවර කරන්න හදල.ඉතිං නර්ස්ගේ අතිං මුගේ ඔලුව යකඩ පොල්ලක වැදිලා.එදා ඉඳං මුට පිස්සු,ඉපදුන ගමන් මේකා නර්ස් කෙනෙක්ට අතවර කරන්න හදල.ඉතිං නර්ස්ගේ අතිං මුගේ ඔලුව යකඩ පොල්ලක වැදිලා.එදා ඉඳං මුට පිස්සු,Harassment,0.5312,Harassment,0.749
Neymarට ටැකල් එකක් දාපන් අංශභාගේ හැදෙන්ඩ... පිස්සු හූනෙක් ඌ... අත්ම්ෆ්ච්බ්,Neymarට ටැකල් එකක් දාපන් අංශභාගේ හැදෙන්ඩ... පිස්සු හූනෙක් ඌ... අත්ම්ෆ්ච්බ්,Harassment,0.7104,Harassment,0.6719
පූසට දැනටමත් පිස්සු හැදිල ඇති. පෞ. උබට බෙහෙත් විදලා නැත්නම් ඌව එක්ක පලයන් වෙට් ලගට,පූසට දැනටමත් පිස්සු හැදිල ඇති. පෞ. උබට බෙහෙත් විදලා නැත්නම් ඌව එක්ක පලයන් වෙට් ලගට,Harassment,0.6196,Harassment,0.5908
"උබ හිතුවද මන් සුද්දෙක් කියලා ,පක කලු වෙලා පුක සුදු වෙන්න","උබ හිතුවද මන් සුද්දෙක් කියලා ,පක කලු වෙලා පුක සුදු වෙන්න",Harassment,0.7026,Harassment,0.7095
ප යන්න අහලා තියෙනවා. ඒත් පක කොට නරි පුක අහලා නෑ,ප යන්න අහලා තියෙනවා. ඒත් පක කොට නරි පුක අහලා නෑ,Harassment,0.4988,Harassment,0.5098
මට පක වලින් ඇති වැඩක් නෑ බන්. උබම තියා ගනින් පකේ කඩලා,මට පක වලින් ඇති වැඩක් නෑ බන්. උබම තියා ගනින් පකේ කඩලා,Harassment,0.6953,Harassment,0.8833
සුද්ද ටයි එක බඩ හරියට දැම්මෙ කට පිහිදාන්න...රාජපක්ෂ යො සාටකෙ දනිස්ස හරියට දිගට දාන්නෙ උන්ගෙ මුත්තල ඕකෙන් පුක පිහිදැම්මද දන් නෑ,සුද්ද ටයි එක බඩ හරියට දැම්මෙ කට පිහිදාන්න...රාජපක්ෂ යො සාටකෙ දනිස්ස හරියට දිගට දාන්නෙ උන්ගෙ මුත්තල ඕකෙන් පුක පිහිදැම්මද දන් නෑ,Harassment,0.5728,Harassment,0.981
මූ සිව්‍රක් පොරොගෙන ඉන්න පොන්න පකෙක් තො ඔක ගල්වපන් අපෙ ජාතිය විනාස කරන්නැතුව... උර්ල්,මූ සිව්‍රක් පොරොගෙන ඉන්න පොන්න පකෙක් තො ඔක ගල්වපන් අපෙ ජාතිය විනාස කරන්නැතුව... උර්ල්,Harassment,0.6094,Harassment,0.9683
එලියෙන් පුක දෙන්න ඇතුාලන් පක දෙන්න ශාලුක | ශාලුක ® · 17 දෙක් 2017 ඇතුලෙන් පේන්න බෑ... එලිපිට පණ දෙන්න කතාව අනේ මන්දා ඕයි,එලියෙන් පුක දෙන්න ඇතුාලන් පක දෙන්න ශාලුක | ශාලුක ® · 17 දෙක් 2017 ඇතුලෙන් පේන්න බෑ... එලිපිට පණ දෙන්න කතාව අනේ මන්දා ඕයි,Harassment,0.5093,Harassment,0.834
ක නැගිට්ටා අතේ ගැහුව බඩු පිට වුනා පක ඇකිලුනා. වල්ප්රෝවෙර්බ්ස්,ක නැගිට්ටා අතේ ගැහුව බඩු පිට වුනා පක ඇකිලුනා. වල්ප්රෝවෙර්බ්ස්,Harassment,0.5728,Harassment,0.5918
වේස පකයලා උදේ පාන්දර රතිඤ්ඤා දානවා හතර වටේ නිදාගන්නත් නෑ හුත්ත,වේස පකයලා උදේ පාන්දර රතිඤ්ඤා දානවා හතර වටේ නිදාගන්නත් නෑ හුත්ත,Harassment,0.6602,Harassment,0.6748
ජන්ගි පකේ අතුල්ලා පක කනවා ආසයි ඉන්න බැ,ජන්ගි පකේ අතුල්ලා පක කනවා ආසයි ඉන්න බැ,Harassment,0.5933,Harassment,0.9771
"බිම බලං පලයව් ""සිංහල"" හුත්*ගෙ පුතාලා... මාලිගාවත්තෙ කොනනැති පක්කො ග්‍රවුන්ඩ් එකේදි ""සිංහලයන්""ට පු* ඇරපු හැටි. තවත් සහජීවනේට දීපියව් පුක...","බිම බලං පලයව් ""සිංහල"" හුත්*ගෙ පුතාලා... මාලිගාවත්තෙ කොනනැති පක්කො ග්‍රවුන්ඩ් එකේදි ""සිංහලයන්""ට පු* ඇරපු හැටි. තවත් සහජීවනේට දීපියව් පුක...",Harassment,0.6855,Harassment,0.9395
පක තමයි ජය ගන්නෙ. අනේ හුත්තිගෙ පකයෝ හැමිනෙන්නෙ නැතුව හිටපන්.,පක තමයි ජය ගන්නෙ. අනේ හුත්තිගෙ පකයෝ හැමිනෙන්නෙ නැතුව හිටපන්.,Harassment,0.6367,Harassment,0.8608
ඒ විතරද ?? කටටත් ගන්නව. ඔයාල වගේ චිචී බේබිගෙ පක මතක් කරකර පුකේ ඇඟිල්ල ගහගෙන සැනසෙන ජාතිය නෙමේ අපි. කෙලිම්ම නියක සහෝදරයත් එක්ක වැඩ,ඒ විතරද ?? කටටත් ගන්නව. ඔයාල වගේ චිචී බේබිගෙ පක මතක් කරකර පුකේ ඇඟිල්ල ගහගෙන සැනසෙන ජාතිය නෙමේ අපි. කෙලිම්ම නියක සහෝදරයත් එක්ක වැඩ,Harassment,0.6997,Harassment,0.7002
මේ පොන්න පකයාට මෝල් ගහකින් අරන්න ඕන #කටගඳපසංක,මේ පොන්න පකයාට මෝල් ගහකින් අරන්න ඕන #කටගඳපසංක,Harassment,0.7192,Harassment,0.9639
අකේ පුරින්නන් පැඩ්ඩච්චන් පක මොට්ටතී විනස්සතී.,අකේ පුරින්නන් පැඩ්ඩච්චන් පක මොට්ටතී විනස්සතී.,Harassment,0.77,Harassment,0.7114
පයියක් තියෙන හින්දා හුත්තො පයිය පෙන්නන්නෙ,පයියක් තියෙන හින්දා හුත්තො පයිය පෙන්නන්නෙ,Harassment,0.6118,Harassment,0.9731
පුක ලස්සන ඇති නේද පැංචගේ.. පයියෙත් ලාමක මයිල් ඇවිත් ඇති ලස්සනට...,පුක ලස්සන ඇති නේද පැංචගේ.. පයියෙත් ලාමක මයිල් ඇවිත් ඇති ලස්සනට...,Harassment,0.5288,Harassment,0.9814
මුගේ ආරක්ෂාවට ඉන්න එවුන්ට අත පය නැද්ද...... පයිය කපල උගේ කටේ ගහල කීතු කපන්න,මුගේ ආරක්ෂාවට ඉන්න එවුන්ට අත පය නැද්ද...... පයිය කපල උගේ කටේ ගහල කීතු කපන්න,Harassment,0.7964,Harassment,0.9746
කොල්ලලේ පයිය උරලා ඇ‌ට දෙකත් ලේවකාල සැප දෙනවා අක්කා,කොල්ලලේ පයිය උරලා ඇ‌ට දෙකත් ලේවකාල සැප දෙනවා අක්කා,Harassment,0.7734,Harassment,0.9131
බලාගෙන අම්තේ ගහන්න ගිහිම් පයිය නැවෙයි,බලාගෙන අම්තේ ගහන්න ගිහිම් පයිය නැවෙයි,Harassment,0.4927,Harassment,0.9487
යකො මගෙ වචන අල්ලගන් කියන්නෙ මෙ විදි බඩුව ඇක්කා හරි හරි උබට දුකයි නම් පයිය ගැන ඔනෙ නැ සොරි ඇ,යකො මගෙ වචන අල්ලගන් කියන්නෙ මෙ විදි බඩුව ඇක්කා හරි හරි උබට දුකයි නම් පයිය ගැන ඔනෙ නැ සොරි ඇ,Harassment,0.6465,Harassment,0.9697
හුත්ත පයිය හුත්ත පයිය හුත්ත පයිය හුත්ත පයිය හුත්ත පයිය හුත්ත පයිය හුත්ත පයිය හුත්ත පයිය හුත්ත පයිය හුත්ත පයිය හුත්ත පයිය හුත්ත පයිය හුත්ත පයිය හුත්ත පයිය හුත්ත පයිය හුත්ත පයිය හුත්ත පයිය හුත්ත පයිය හුත්ත පයිය හුත්ත පයිය හුත්ත පයිය හුත්ත පයිය හුත්ත පයිය හුත්ත පයිය හුත්ත පයිය හුත්ත,හුත්ත පයිය හුත්ත පයිය හුත්ත පයිය හුත්ත පයිය හුත්ත පයිය හුත්ත පයිය හුත්ත පයිය හුත්ත පයිය හුත්ත පයිය හුත්ත පයිය හුත්ත පයිය හුත්ත පයිය හුත්ත පයිය හුත්ත පයිය හුත්ත පයිය හුත්ත පයිය හුත්ත පයිය හුත්ත පයිය හුත්ත පයිය හුත්ත පයිය හුත්ත පයිය හුත්ත පයිය හුත්ත පයිය හුත්ත පයිය හුත්ත පයිය හුත්ත,Harassment,0.4753,Harassment,0.9805
මගේ පයිය හොඳට ලෙවකන්න බබා,මගේ පයිය හොඳට ලෙවකන්න බබා,Harassment,0.7505,Harassment,0.9858
උගෙ මොලෙ ⁣පුකේ හරි ඇති. තොගෙ කොහෙද තියෙන්නෙ. අර නගින්නෙ නැති පයියෙ ඇට දෙකේද?? අඟලක්වත් නෑ නේද පයිය..දුක තමා රංජනී..,උගෙ මොලෙ ⁣පුකේ හරි ඇති. තොගෙ කොහෙද තියෙන්නෙ. අර නගින්නෙ නැති පයියෙ ඇට දෙකේද?? අඟලක්වත් නෑ නේද පයිය..දුක තමා රංජනී..,Harassment,0.5361,Harassment,0.9844
කෝ මේ වේසි පුක දෙන්න ගිහින්ද කඩවත හන්දියට,කෝ මේ වේසි පුක දෙන්න ගිහින්ද කඩවත හන්දියට,Harassment,0.5249,Harassment,0.9497
"මොන වේස වැඩද බං මේවා, හරියට ජාතකයක් තියෙන උන් මේ වගේ ගං කබර වැඩ කරන්නේ නැහැ. කිසිම හිරිකිතයක් නැතිව වේස කමයි පොන්න කමයි පෙන්නන හැටි අප්පිරියයි බං රාක්ෂයා · 5 ජන 2021 කරන්නදෙයක් නෑ මචං එන්න එන්න පොන්නයෝ සහ වේසියො වැඩිවෙනවා ට්ව්ටිට්ටේර් එකේ. මුං හදන්නෙ මේක උන්ගෙ ගොං තිප්පලක් කරන්න....ඒකට ඉඩදෙන්නෙ නැති උන්ට ගරහනව","මොන වේස වැඩද බං මේවා, හරියට ජාතකයක් තියෙන උන් මේ වගේ ගං කබර වැඩ කරන්නේ නැහැ. කිසිම හිරිකිතයක් නැතිව වේස කමයි පොන්න කමයි පෙන්නන හැටි අප්පිරියයි බං රාක්ෂයා · 5 ජන 2021 කරන්නදෙයක් නෑ මචං එන්න එන්න පොන්නයෝ සහ වේසියො වැඩිවෙනවා ට්ව්ටිට්ටේර් එකේ. මුං හදන්නෙ මේක උන්ගෙ ගොං තිප්පලක් කරන්න....ඒකට ඉඩදෙන්නෙ නැති උන්ට ගරහනව",Harassment,0.5571,Harassment,0.978
චන්ද්‍රිකා බලු වේසි තම වයිරී ගූ හිල නැවත අරී උර්ල් via,චන්ද්‍රිකා බලු වේසි තම වයිරී ගූ හිල නැවත අරී උර්ල් via,Harassment,0.5171,Harassment,0.9033
මොරටු වේසි මොරටු වේසී මොරටු වේසී මිශෙඅර්ද්බුස්රෞතෙස්,මොරටු වේසි මොරටු වේසී මොරටු වේසී මිශෙඅර්ද්බුස්රෞතෙස්,Harassment,0.5889,Harassment,0.7642
මේ වේසි... පුතා කියන විදියට සිංහල තම්බි ඉන්නවද ? සිනහල හින්දු ආගමේ ඉන්නවද ? බල්ලෝ සිංහල බව්ද්දයා ගැන උබ මොනවද දන්නේ,මේ වේසි... පුතා කියන විදියට සිංහල තම්බි ඉන්නවද ? සිනහල හින්දු ආගමේ ඉන්නවද ? බල්ලෝ සිංහල බව්ද්දයා ගැන උබ මොනවද දන්නේ,Harassment,0.6172,Harassment,0.9229
උන්ට තමයි සල්ලාලයො කියන්නෙ. එහෙම තමයි ලංකාවෙ කැරි පොන්න වේසිගෙ පුතාල ඉන්න තාක්කල් ඔවගේ ගොඩ යෑමක් නෑ,උන්ට තමයි සල්ලාලයො කියන්නෙ. එහෙම තමයි ලංකාවෙ කැරි පොන්න වේසිගෙ පුතාල ඉන්න තාක්කල් ඔවගේ ගොඩ යෑමක් නෑ,Harassment,0.751,Harassment,0.9482
කෝ බන් අර ආමි එකේ කොල්ලොන්ට8 පාස් උන් කියපු අලුත් පරපුරේද මොකේද වේසිගෙ පුතාලයි අර වේසිගෙ කෙල්ලයි කටට දෙන්න ඔනේ උන්ගේ,කෝ බන් අර ආමි එකේ කොල්ලොන්ට8 පාස් උන් කියපු අලුත් පරපුරේද මොකේද වේසිගෙ පුතාලයි අර වේසිගෙ කෙල්ලයි කටට දෙන්න ඔනේ උන්ගේ,Harassment,0.7583,Harassment,0.9849
වේසි වේසි මය් ගවුමක් ඇ න්දාට,වේසි වේසි මය් ගවුමක් ඇ න්දාට,Harassment,0.686,Harassment,0.9067
වෙශාවිය කීවට කමක් නැහැ අතින් අතට යන වේසි -_- උර්ල්,වෙශාවිය කීවට කමක් නැහැ අතින් අතට යන වේසි -_- උර්ල්,Harassment,0.6948,Harassment,0.8994
මගෙ සුදු කෙල්ල ටිකක් ලං කර ගත්තාම ඇදට ගියාම මගෙ ගෑනි දාලා ගියාම වේසි,මගෙ සුදු කෙල්ල ටිකක් ලං කර ගත්තාම ඇදට ගියාම මගෙ ගෑනි දාලා ගියාම වේසි,Harassment,0.5791,Harassment,0.6509
පුකට ඇනිලා තියෙන්නෙ... ආතල්. රියල් එකෙන් එන්නේ නැහැනේ මේ වේසි සැහ්...,පුකට ඇනිලා තියෙන්නෙ... ආතල්. රියල් එකෙන් එන්නේ නැහැනේ මේ වේසි සැහ්...,Harassment,0.75,Harassment,0.9873
කැරි පොන්න වේසිගේ පුතා.ngo ඩොලර් ඇරං උන්ප් එකට කඩේ යනවා,කැරි පොන්න වේසිගේ පුතා.ngo ඩොලර් ඇරං උන්ප් එකට කඩේ යනවා,Harassment,0.6411,Harassment,0.9629
ප්‍රොපෙසර් හුක පක ජක බකා ජින් මාහත්මයා හුත්ත තිබ්බ වැව හන්දියෙ සිට. ස්පොන්සර්:ෆෙම්ස් ඇන්ඩ් ඊවා ඩේඩ්‍ හැදිච්ච ෆෙම්ස් එකක් අරන් ඔබනවා කටේ දැනගනීන් ඔය හෑල්ලට අයේ අරක මේක කියාගන අප්පට හැමනෙන්න හැදුවොත් මේකේ පරයා ( ꈍᴗꈍ · 2 ඔච්ට් 2020 අදහස් ප්‍රකාශ කිරීමේ අයිතිය තියෙනවා. ඒක ලැබෙන්නේ සයිබර් අයිතිවාසිකම් අනුව. ජාත්‍යන්තර මානව අයිතිවාසිකම් පිළිබඳ කියවලා ඇවිත් ඉන්න. ඒක නොදැන ඔබ කරන්නේ ච්ය්බෙර් bullying.,ප්‍රොපෙසර් හුක පක ජක බකා ජින් මාහත්මයා හුත්ත තිබ්බ වැව හන්දියෙ සිට. ස්පොන්සර්:ෆෙම්ස් ඇන්ඩ් ඊවා ඩේඩ්‍ හැදිච්ච ෆෙම්ස් එකක් අරන් ඔබනවා කටේ දැනගනීන් ඔය හෑල්ලට අයේ අරක මේක කියාගන අප්පට හැමනෙන්න හැදුවොත් මේකේ පරයා ( ꈍᴗꈍ · 2 ඔච්ට් 2020 අදහස් ප්‍රකාශ කිරීමේ අයිතිය තියෙනවා. ඒක ලැබෙන්නේ සයිබර් අයිතිවාසිකම් අනුව. ජාත්‍යන්තර මානව අයිතිවාසිකම් පිළිබඳ කියවලා ඇවිත් ඉන්න. ඒක නොදැන ඔබ කරන්නේ ච්ය්බෙර් bullying.,Harassment,0.5566,Harassment,0.9321
මෝඩ හුකන්නා වාහනේ යද්දි අත වනවනවත් ගියාද දන්නෑ,මෝඩ හුකන්නා වාහනේ යද්දි අත වනවනවත් ගියාද දන්නෑ,Harassment,0.5503,Harassment,0.9648
මේ හුත්තිගෙ පුතාලා කෑලේ කපලා ඉන්න බෑ ගින්දර වගෙ රස්නෙයි ඒ අස්සෙන් කරන්ට් එකත් කපලා අනේ හුකේ උබලගෙ පොන්න ආන්ඩුව... උර්ල්,මේ හුත්තිගෙ පුතාලා කෑලේ කපලා ඉන්න බෑ ගින්දර වගෙ රස්නෙයි ඒ අස්සෙන් කරන්ට් එකත් කපලා අනේ හුකේ උබලගෙ පොන්න ආන්ඩුව... උර්ල්,Harassment,0.6929,Harassment,0.8398
කෙලවනවා නම් කෙලවිලා හැදි ගෑවිලා හිකවිලා හුක හුකෑස් වෙලා නන්තාර වෙලා නැතිම වෙලා යන්ඩම කෙලවන්න ඕන. නියපොත්තක වත් පන ඉතිරි කරන්නෙ නැතුව.,කෙලවනවා නම් කෙලවිලා හැදි ගෑවිලා හිකවිලා හුක හුකෑස් වෙලා නන්තාර වෙලා නැතිම වෙලා යන්ඩම කෙලවන්න ඕන. නියපොත්තක වත් පන ඉතිරි කරන්නෙ නැතුව.,Harassment,0.7329,Harassment,0.9575
හුක*වා පුන්සදේ ලන්තෑරුම ලිදේ Thank you Android Police · 30 ජුල 2018 ඔනෙප්ලුස් ප්රෝමිසෙස් Android ප් for ත්වොයෙඅරොල්ද 33T against all එෂ්පෙක්තතිඔන්ස උර්ල්,හුක*වා පුන්සදේ ලන්තෑරුම ලිදේ Thank you Android Police · 30 ජුල 2018 ඔනෙප්ලුස් ප්රෝමිසෙස් Android ප් for ත්වොයෙඅරොල්ද 33T against all එෂ්පෙක්තතිඔන්ස උර්ල්,Harassment,0.5649,Harassment,0.5698
පං පං පං පන්සි ලක ලන්සි පක පාරු උක ඌරු පක පමල දෙක දෙමල පක පලා රික රිලා පක #මංකිවුවෙසින්දුවක් #සිරිමත්මගෙසකියහපත්ළමයෙකි මහසොහොන් · 18 දෙක් 2018 දැන් අර මොකක්ද කුණු හරුප සීන් එක. අර ගස් ගෝතයෙක් නම් කුණු හරුප ගැන මොකක් හරි #මංපොර ටෝක් එකක් දාල තිබ්බ. දැන් කාගෙන් හරි අවසර ගන්ඩෝනද කුණුහරුප කියන්න. මේක හරි හුකන ආන්ඩුවක්නේ හුත්ත. කුණුහරුපයක් කියන්න නැති මාර පකේ සමාජයක්ද මේක. ටෞකන්ඩ. අනේ තොපේ හැදියාව හතරට නමලා ගහගං පුකේ.,පං පං පං පන්සි ලක ලන්සි පක පාරු උක ඌරු පක පමල දෙක දෙමල පක පලා රික රිලා පක #මංකිවුවෙසින්දුවක් #සිරිමත්මගෙසකියහපත්ළමයෙකි මහසොහොන් · 18 දෙක් 2018 දැන් අර මොකක්ද කුණු හරුප සීන් එක. අර ගස් ගෝතයෙක් නම් කුණු හරුප ගැන මොකක් හරි #මංපොර ටෝක් එකක් දාල තිබ්බ. දැන් කාගෙන් හරි අවසර ගන්ඩෝනද කුණුහරුප කියන්න. මේක හරි හුකන ආන්ඩුවක්නේ හුත්ත. කුණුහරුපයක් කියන්න නැති මාර පකේ සමාජයක්ද මේක. ටෞකන්ඩ. අනේ තොපේ හැදියාව හතරට නමලා ගහගං පුකේ.,Harassment,0.6006,Harassment,0.9727
හුකාවි පෝනෙකෙත් සෙල්ෆි කම් ටිකක් ඔපො වගෙ .. කලු පුක පොඩ්ඩක් සෙල්ෆියක් ගහලදාන්නකො කොච්චර සුදුවෙලද කියල බලන්න..,හුකාවි පෝනෙකෙත් සෙල්ෆි කම් ටිකක් ඔපො වගෙ .. කලු පුක පොඩ්ඩක් සෙල්ෆියක් ගහලදාන්නකො කොච්චර සුදුවෙලද කියල බලන්න..,Harassment,0.7378,Harassment,0.877
කකුලුවෝ දෙන්නෙක් හුක හුකා හිටපු එක බලන්නලු. %යියවත් කෙලින් දානවද කියලා බැලුවලුම්.,කකුලුවෝ දෙන්නෙක් හුක හුකා හිටපු එක බලන්නලු. %යියවත් කෙලින් දානවද කියලා බැලුවලුම්.,Harassment,0.7056,Harassment,0.8867
උබ හිතුවද උබලට දැන ගන්න බල්ලො වගේ පාරේ හුක හුක යනව කියල.,උබ හිතුවද උබලට දැන ගන්න බල්ලො වගේ පාරේ හුක හුක යනව කියල.,Harassment,0.5054,Harassment,0.6875
හිමි හිකි හිකි හුක හුක හුක #රනියාගෙන්_කොපි_කලේහ්,හිමි හිකි හිකි හුක හුක හුක #රනියාගෙන්_කොපි_කලේහ්,Harassment,0.5312,Harassment,0.6162
ඉතින් ඇයි බං ඕක ඒවෙලේ කිව්වෙ නැත්තෙ. ගෝඨා නැතුව වෙන එකෙක් ඡන්දෙ ඉල්ලුවනං අද ගෝඨගෙ නම වෙනුවට ඔතෙන්ට දාන්නෙ ඒ මනුස්සයගෙ නමනේ. දේශපාලන වහල් පොන්න වේස කැරි හුකන කතා කියන්නෙපා හුත්තිගෙ කොල්ලෝ හුකන්න බෝම්බ ගහපු වෙලේ එක පකයෙක් හා හූ නෑ අන්තිමට ඡන්දයක් ළංවුණාම ජංගිය අස්සෙ තියෙන ඇට 1/2,ඉතින් ඇයි බං ඕක ඒවෙලේ කිව්වෙ නැත්තෙ. ගෝඨා නැතුව වෙන එකෙක් ඡන්දෙ ඉල්ලුවනං අද ගෝඨගෙ නම වෙනුවට ඔතෙන්ට දාන්නෙ ඒ මනුස්සයගෙ නමනේ. දේශපාලන වහල් පොන්න වේස කැරි හුකන කතා කියන්නෙපා හුත්තිගෙ කොල්ලෝ හුකන්න බෝම්බ ගහපු වෙලේ එක පකයෙක් හා හූ නෑ අන්තිමට ඡන්දයක් ළංවුණාම ජංගිය අස්සෙ තියෙන ඇට 1/2,Harassment,0.7188,Harassment,0.8979
ටහුකන්ඩ දාලා කැරි බස් කාරයෝ මීගමුව මේන් රෝඩ් එක හුත්ත අස්සේ බස් එකක් හරස් කරල පුක දෙනවා කියහන්කෝ! ටකරන් පකයන්ට... උර්ල්,ටහුකන්ඩ දාලා කැරි බස් කාරයෝ මීගමුව මේන් රෝඩ් එක හුත්ත අස්සේ බස් එකක් හරස් කරල පුක දෙනවා කියහන්කෝ! ටකරන් පකයන්ට... උර්ල්,Harassment,0.6401,Harassment,0.8555
හුකහම් පොන්න කැරි වේස බල්ල... ස්තුතියි,හුකහම් පොන්න කැරි වේස බල්ල... ස්තුතියි,Harassment,0.5806,Harassment,0.9028
කොරයි කොරයි. පයිය නගින්නෙ නැති උන් කරන්නෙත් ඔය උබ වගේ කෑ ගහන එක තමා. හුකා ගන්න බැරි උනාම ගමකට හුකන්ඩ වගේ කෑ ගහනව.,කොරයි කොරයි. පයිය නගින්නෙ නැති උන් කරන්නෙත් ඔය උබ වගේ කෑ ගහන එක තමා. හුකා ගන්න බැරි උනාම ගමකට හුකන්ඩ වගේ කෑ ගහනව.,Harassment,0.5327,Harassment,0.9863
කැරි පකයා පොන්න හුකන්නා කැරි බඩුව (6)ඉහත සදහන් මූලික කුනුහරප හා ප්‍රණවාචී නාමපද එක්වී නව කුනුහරප හටගනී... හුත්තිගෙ පුතා වේසිගෙ පුතා කැරි වේසිගෙ පුතා හුත්තිගෙ කෙල්ල හුත්‍තිගෙ කොල්ලා (7)තවද මූලික කුනුහරප හා අප්‍රාණවාචී නාමපද එක්වී නව කුනුහරප හටගනී...,කැරි පකයා පොන්න හුකන්නා කැරි බඩුව (6)ඉහත සදහන් මූලික කුනුහරප හා ප්‍රණවාචී නාමපද එක්වී නව කුනුහරප හටගනී... හුත්තිගෙ පුතා වේසිගෙ පුතා කැරි වේසිගෙ පුතා හුත්තිගෙ කෙල්ල හුත්‍තිගෙ කොල්ලා (7)තවද මූලික කුනුහරප හා අප්‍රාණවාචී නාමපද එක්වී නව කුනුහරප හටගනී...,Harassment,0.7334,Harassment,0.9873
"අනෙ තො හුක ,තොගෙ එක ඇහුනමනෙ නගින්නෙ මන් මෙන්සන් කොරනවා","අනෙ තො හුක ,තොගෙ එක ඇහුනමනෙ නගින්නෙ මන් මෙන්සන් කොරනවා",Harassment,0.5518,Harassment,0.8257
"""කව්ද හුත්තො මේ පොන්නයා.. අදයි දැක්කෙත් වේස හුකන්නා... හෙණ ගහපන් කොන්ක්‍රීට් පොන්නයා "" චොම්මේන්ට්ස්","""කව්ද හුත්තො මේ පොන්නයා.. අදයි දැක්කෙත් වේස හුකන්නා... හෙණ ගහපන් කොන්ක්‍රීට් පොන්නයා "" චොම්මේන්ට්ස්",Harassment,0.5928,Harassment,0.981
ආදරනීය පුස්පෙ රෙන පුක දෙන්න ගිය බැවින් අම්කර් අක්කාගෙන් ගුටි කෑ බව ආරන්චී..ඔබට කෙසේද?,ආදරනීය පුස්පෙ රෙන පුක දෙන්න ගිය බැවින් අම්කර් අක්කාගෙන් ගුටි කෑ බව ආරන්චී..ඔබට කෙසේද?,Harassment,0.5005,Harassment,0.7915
"ලොකු පුක,මහත පුක කෙට්ටු පුක,අලි පුක.. පුක,පුක... පුක රෙන පුක","ලොකු පුක,මහත පුක කෙට්ටු පුක,අලි පුක.. පුක,පුක... පුක රෙන පුක",Harassment,0.7559,Harassment,0.9375
බ්ලැක් ඇමරිකන් එකේක ගෙන්නල හරි පුක පලල එලියට දාන්න ඕනි රෙන වාරයක් ගානෙ මතක හිටින්න.. පිංවත් ඥාන පුක..,බ්ලැක් ඇමරිකන් එකේක ගෙන්නල හරි පුක පලල එලියට දාන්න ඕනි රෙන වාරයක් ගානෙ මතක හිටින්න.. පිංවත් ඥාන පුක..,Harassment,0.7417,Harassment,0.7715
